PUN,Status,Recipe/Task,Total Execution Time (s)
1122305M01402460,Pass,14,0.2533833966416631
1122305M01402700,Pass,13,0.2575159965698955
1122306M01100870,Pass,32,0.23496949765609118
1122305M01303090,Pass,14,0.2661909964192436
1122306M01100470,Pass,14,0.27914739619424
1122305M01402420,Pass,33,0.24510619748005513
1122306M01400550,Pass,23,0.4164075938105504
1122305M01302850,Pass,13,0.3246860954034053
1122306M01400710,Pass,13,0.23831099690341356
1122305M01402580,Pass,12,0.3856420943448306
1122305M01102830,Pass,24,0.20252569752486863
1122305M01202960,Pass,24,0.20415339749660164
1122306M01100130,Pass,31,0.15125279910993306
1122306M01400900,Pass,33,0.240941797552375
1222306M01300970,Pass,32,0.24579869746802904
1122306M01100910,Pass,34,0.22049079790753134
1122306M01300740,Fail,12,0.3956868941703905
1122305M01102910,Pass,31,0.15256209908719548
1122306M01300490,Pass,13,0.27947269618859083
1122306M01200530,Pass,13,0.41057499391184066
1122306M01400270,Pass,33,0.2738494969808929
1122306M01100100,Pass,24,0.2555885966033671
1122305M01202680,Pass,12,0.29906309584837976
1122305M01302530,Pass,13,0.24261049682874755
1122306M01300540,Pass,22,0.22858769707227045
1122306M01400750,Pass,24,0.21460769731505006
1122305M01302770,Pass,12,0.405824593994337
1122306M01400900,Pass,22,0.20653919745516935
1122306M01400550,Pass,22,0.19661479762751857
1122306M01100040,Pass,13,0.25212799666346464
1122306M01200730,Pass,11,0.2528429966510478
1122305M01102990,Pass,13,0.2371601969233986
1122306M01400030,Pass,12,0.2791512961941723
1122306M01200650,Pass,34,0.21358289802749542
1122305M01103070,Fail,14,0.35144319493873594
1122306M01200810,Pass,13,0.24136459685038408
1122305M01402660,Pass,33,0.19941609827351903
1122306M01300410,Pass,14,0.3479528949993492
1122306M01200920,Pass,24,0.23223649700890459
1122306M01100350,Pass,32,0.2603012972161738
1122306M01200690,Pass,22,0.1998794975708231
1122305M01303050,Pass,12,0.3288213953315909
1122306M01300930,Pass,14,0.26633069641681756
1122305M01102430,Pass,31,0.15739989900318124
1222306M01201000,Pass,33,0.20872619811183787
1122306M01200530,Pass,32,0.2555109972993632
1122306M01200880,Pass,33,0.18789979847351354
1122305M01302930,Fail,12,0.43929199341313513
1122305M01402700,Pass,24,0.21162429736686042
1122306M01100640,Pass,31,0.15289119908148027
1122305M01303050,Pass,11,0.2557998965996976
1122306M01100010,Pass,14,0.2602203965229303
1122305M01302610,Pass,32,0.22941049775262998
1122306M01300080,Pass,31,0.15514779904229167
1122305M01102630,Pass,23,0.19710339761903342
1122305M01402980,Pass,13,0.24750849674368783
1122306M01200810,Pass,24,0.21256499735052403
1122306M01300140,Pass,34,0.29459459662062915
1122306M01200730,Pass,13,0.2451484967846721
1122305M01102390,Pass,22,0.20436159749298602
1122305M01303090,Pass,22,0.20849439742121492
1122305M01202560,Pass,33,0.25026139739052883
1122306M01100800,Pass,33,0.21202079805462315
1122306M01200570,Pass,32,0.2069694981423451
1122306M01400090,Pass,13,0.5065282922454953
1122306M01100070,Pass,34,0.24363629750558172
1122306M01400460,Pass,11,0.25384279663368503
1122306M01100280,Pass,23,0.351406394939375
1122306M01400670,Pass,21,0.2011683975484398
1122305M01302730,Pass,13,0.24973609670500285
1122306M01300540,Pass,11,0.2595881965339092
1122305M01103070,Pass,21,0.19075259772932276
1122305M01202920,Pass,32,0.21310229803584163
1122305M01103070,Pass,11,0.25089749668483374
1122306M01400340,Fail,34,0.15251439908802386
1122305M01403020,Pass,12,0.25142969667559145
1122306M01400510,Pass,33,0.22857179776719502
1122305M01102590,Pass,14,0.2616742964976816
1122305M01202720,Pass,33,0.23890349758777255
1122306M01400420,Pass,34,0.26369079715731103
1122305M01403060,Pass,24,0.20024749756443233
1122306M01300410,Pass,24,0.2045294974900702
1122305M01102590,Pass,32,0.24198779753420993
1122306M01300370,Pass,13,0.47193329284627944
1122306M01400460,Pass,32,0.20752279813273639
1122306M01200250,Pass,32,0.1779670986460069
1122306M01100520,Pass,12,0.4874727925764172
1122306M01400830,Pass,34,0.2177195979556566
1122306M01400120,Pass,32,0.26558779712436736
1122306M01400060,Pass,24,0.39915299411019745
1122305M01102630,Pass,22,0.21027249739033607
1122306M01400860,Pass,13,0.2406873968621445
1122305M01303090,Pass,23,0.19706139761976282
1122305M01402460,Pass,32,0.21093549807347073
1122306M01100430,Pass,24,0.44674259328374644
1222306M01200960,Pass,31,0.1523938990901165
1122306M01200610,Pass,21,0.20372019750412468
1122306M01100870,Pass,24,0.21434969731953055
1122306M01300450,Pass,23,0.3247932954015437
1122306M01400860,Pass,31,0.15874609897980285
1122306M01400030,Pass,24,0.21188579736231916
1122306M01200690,Pass,32,0.23250459769889717
1122306M01400030,Pass,21,0.19729669761567653
1122305M01202920,Pass,24,0.20815349742713507
1122306M01400270,Pass,34,0.2155426979934611
1122306M01400420,Pass,32,0.21382049802336922
1222306M01100950,Pass,23,0.18737739778793722
1122306M01100720,Pass,13,0.2391051968896213
1122306M01300220,Pass,34,0.253540397333585
1122305M01102710,Pass,32,0.20703249814125102
1122305M01202840,Pass,21,0.19498889765575428
1122305M01102590,Pass,33,0.20647539815092575
