Capture Time,PUN,X,Y
2022/10/26 00:36:50:839,1122235BHA110758,539.9,491.0
2022/10/26 00:35:13:703,1122235BHA110759,599.3,559.2
2022/10/26 00:28:12:451,1122235BHA110760,571.8,504.1
2022/10/26 00:27:00:632,1122235BHA110761,583.6,488.9
2022/10/26 00:28:06:750,1122235BHA110762,576.6,592.4
2022/10/26 00:27:03:627,1122235BHA110763,553.6,508.1
2022/10/26 00:35:10:901,1122235BHA110764,617.3,547.8
2022/10/26 00:38:10:767,1122235BHA110765,565.3,489.6
2022/10/26 00:28:04:648,1122235BHA110766,569.5,683.8
2022/10/26 00:33:54:276,1122235BHA110768,557.2,515.7
2022/10/26 00:33:33:967,1122235BHA110769,545.2,564.5
2022/10/26 00:34:52:696,1122235BHA110770,548.1,520.2
2022/10/26 00:34:32:488,1122235BHA110771,538.1,543.0
2022/10/26 00:35:17:307,1122235BHA110772,570.6,511.3
2022/10/26 00:33:59:977,1122235BHA110773,574.8,486.1
2022/10/26 00:36:48:537,1122235BHA110774,532.0,505.2
2022/10/26 00:36:45:639,1122235BHA110775,580.1,536.0
2022/10/26 00:33:42:370,1122235BHA110776,544.6,530.2
2022/10/26 00:35:20:706,1122235BHA110777,576.5,506.3
2022/10/26 00:33:30:966,1122235BHA110778,542.5,521.8
2022/10/26 00:33:37:269,1122235BHA110779,529.6,538.8
2022/10/26 00:38:25:874,1122235BHA110780,590.6,521.0
2022/10/26 01:02:11:582,1122235BHA110781,587.9,536.5
2022/10/26 00:36:54:639,1122235BHA110782,554.0,492.8
2022/10/26 01:04:49:039,1122235BHA110783,597.8,473.1
2022/10/26 01:02:28:889,1122235BHA110784,567.7,516.5
2022/10/26 01:04:09:725,1122235BHA110785,574.8,495.2
2022/10/26 01:03:52:719,1122235BHA110786,567.1,512.4
2022/10/26 01:03:50:818,1122235BHA110787,571.1,520.8
2022/10/26 01:04:37:139,1122235BHA110788,613.5,506.0
2022/10/26 01:02:36:891,1122235BHA110789,537.4,501.7
2022/10/26 01:04:06:224,1122235BHA110790,554.8,484.1
2022/10/26 01:03:48:719,1122235BHA110791,560.8,528.3
2022/10/26 01:04:03:023,1122235BHA110792,610.4,497.4
2022/10/26 01:03:42:914,1122235BHA110793,533.8,542.6
2022/10/26 01:02:17:686,1122235BHA110794,527.3,534.2
2022/10/26 01:02:14:084,1122235BHA110795,568.3,545.6
2022/10/26 01:04:00:221,1122235BHA110796,600.5,514.6
2022/10/26 01:03:21:609,1122235BHA110797,571.7,703.0
2022/10/26 01:04:46:738,1122235BHA110798,590.3,539.1
2022/10/26 01:04:33:733,1122235BHA110799,579.7,531.4
2022/10/26 01:02:59:700,1122235BHA110800,567.8,546.9
2022/10/26 01:03:24:907,1122235BHA110801,547.3,482.1
2022/10/26 01:03:06:702,1122235BHA110803,565.9,540.9
2022/10/26 01:04:52:042,1122235BHA110804,556.5,512.4
2022/10/26 01:02:20:885,1122235BHA110805,571.7,506.6
2022/10/26 01:03:03:604,1122235BHA110806,537.2,515.9
2022/10/26 01:03:28:411,1122235BHA110807,546.8,488.7
2022/10/26 01:04:44:636,1122235BHA110808,550.3,565.8
2022/10/26 01:04:30:131,1122235BHA110809,534.6,549.6
2022/10/26 01:02:31:692,1122235BHA110810,570.2,508.5
2022/10/26 00:58:28:703,1122235BHA110811,577.6,504.6
2022/10/26 01:04:27:332,1122235BHA110812,546.8,635.6
2022/10/26 00:53:36:100,1122235BHA110813,575.9,497.4
2022/10/26 00:56:43:864,1122235BHA110814,611.6,511.2
2022/10/26 00:55:29:841,1122235BHA110815,559.2,547.2
2022/10/26 00:58:31:208,1122235BHA110816,596.1,577.7
2022/10/26 00:58:14:400,1122235BHA110817,557.6,603.0
2022/10/26 00:53:39:909,1122235BHA110818,553.7,499.6
2022/10/26 00:55:36:941,1122235BHA110819,541.2,536.7
2022/10/26 01:05:42:356,1122235BHA110820,573.0,504.0
2022/10/26 01:01:48:974,1122235BHA110821,561.3,514.3
2022/10/26 01:01:32:868,1122235BHA110822,543.7,525.1
2022/10/26 01:02:56:999,1122235BHA110823,546.7,649.6
2022/10/26 00:55:27:037,1122235BHA110824,560.4,645.3
2022/10/26 00:56:40:864,1122235BHA110825,586.7,522.3
2022/10/26 01:03:18:708,1122235BHA110826,566.4,513.7
2022/10/26 01:01:24:665,1122235BHA110827,613.2,579.4
2022/10/26 00:53:18:992,1122235BHA110828,572.2,557.0
2022/10/26 00:53:23:193,1122235BHA110829,557.7,508.6
2022/10/26 00:59:42:929,1122235BHA110830,578.0,554.1
2022/10/26 01:10:16:355,1122235BHA110831,592.9,498.3
2022/10/26 01:09:07:831,1122235BHA110832,557.9,541.3
2022/10/26 01:09:56:550,1122235BHA110833,558.8,564.7
2022/10/26 00:56:50:567,1122235BHA110834,582.0,523.6
2022/10/26 00:56:47:366,1122235BHA110835,563.9,507.5
2022/10/26 01:09:32:239,1122235BHA110836,545.6,527.8
2022/10/26 01:09:04:830,1122235BHA110837,526.4,642.7
2022/10/26 00:53:29:795,1122235BHA110838,581.8,513.7
2022/10/26 00:53:32:897,1122235BHA110839,583.9,500.4
2022/10/26 00:55:33:350,1122235BHA110840,553.4,519.7
2022/10/26 07:46:52:380,1122235BHA110841,570.5,537.6
2022/10/26 00:53:15:493,1122235BHA110842,580.8,554.0
2022/10/26 07:36:12:149,1122235BHA110844,573.8,633.8
2022/10/26 07:37:49:090,1122235BHA110845,585.4,522.9
2022/10/26 07:47:10:487,1122235BHA110846,534.3,522.8
2022/10/26 07:46:50:081,1122235BHA110847,559.2,517.8
2022/10/26 07:37:51:387,1122235BHA110850,578.2,529.1
2022/10/26 07:38:06:992,1122235BHA110851,561.9,489.3
2022/10/26 07:38:03:092,1122235BHA110852,550.0,566.8
2022/10/26 07:42:16:483,1122235BHA110853,553.0,509.0
2022/10/26 07:36:36:657,1122235BHA110854,540.8,523.5
2022/10/26 07:36:33:658,1122235BHA110855,522.8,521.9
2022/10/26 07:37:45:884,1122235BHA110856,575.3,586.7
2022/10/26 07:35:00:426,1122235BHA110857,538.1,510.4
2022/10/26 07:34:56:523,1122235BHA110858,535.9,507.3
2022/10/26 07:34:32:815,1122235BHA110859,567.5,702.7
2022/10/26 07:34:39:518,1122235BHA110862,597.0,550.2
2022/10/26 07:34:50:322,1122235BHA110863,585.1,522.5
2022/10/26 07:36:39:460,1122235BHA110864,580.6,498.3
2022/10/26 07:36:22:156,1122235BHA110865,565.4,515.7
2022/10/26 07:34:53:321,1122235BHA110867,527.8,571.8
2022/10/26 07:33:15:187,1122235BHA110868,573.4,533.4
2022/10/26 07:34:42:017,1122235BHA110869,558.1,543.2
2022/10/26 07:36:18:751,1122235BHA110870,562.3,620.2
2022/10/26 07:49:21:434,1122235BHA110871,569.0,508.9
2022/10/26 07:32:47:675,1122235BHA110872,558.9,736.0
2022/10/26 07:41:41:768,1122235BHA110873,577.1,558.9
2022/10/26 07:38:58:409,1122235BHA110874,557.2,502.9
2022/10/26 07:49:14:630,1122235BHA110877,555.3,519.7
2022/10/26 07:47:07:288,1122235BHA110878,574.9,496.9
2022/10/26 07:47:03:783,1122235BHA110879,575.2,538.1
2022/10/26 07:49:18:031,1122235BHA110880,571.0,485.3
2022/10/26 07:49:00:525,1122235BHA110881,602.4,514.0
2022/10/26 07:48:57:531,1122235BHA110883,558.9,565.0
2022/10/26 07:48:54:122,1122235BHA110884,538.8,551.8
2022/10/26 07:38:26:698,1122235BHA110885,535.3,568.4
2022/10/26 07:46:46:783,1122235BHA110886,583.6,555.1
2022/10/26 07:49:02:626,1122235BHA110887,536.1,581.0
2022/10/26 07:40:03:932,1122235BHA110888,548.5,557.2
2022/10/26 07:41:50:971,1122235BHA110889,561.5,534.7
2022/10/26 07:36:15:453,1122235BHA110890,555.5,549.6
2022/10/26 07:38:10:293,1122235BHA110891,586.3,481.2
2022/10/26 07:40:31:844,1122235BHA110892,535.5,520.5
2022/10/26 07:40:12:539,1122235BHA110893,521.6,531.6
2022/10/26 07:41:48:169,1122235BHA110894,576.5,507.0
2022/10/26 07:40:07:234,1122235BHA110895,571.2,571.3
2022/10/26 07:47:00:981,1122235BHA110897,562.4,522.3
2022/10/26 07:40:10:335,1122235BHA110898,574.3,523.3
2022/10/26 07:40:29:141,1122235BHA110899,580.2,476.3
2022/10/26 07:40:25:940,1122235BHA110900,577.3,526.2
2022/10/26 07:29:44:512,1122235BHA110901,538.1,492.4
2022/10/26 07:46:43:575,1122235BHA110902,550.3,567.0
2022/10/26 07:38:29:501,1122235BHA110903,591.7,533.4
2022/10/26 07:29:18:903,1122235BHA110906,529.2,567.3
2022/10/26 07:29:39:610,1122235BHA110907,574.3,492.2
2022/10/26 07:32:16:376,1122235BHA110908,586.2,509.6
2022/10/26 07:32:13:166,1122235BHA110909,533.6,518.2
2022/10/26 07:27:15:857,1122235BHA110913,584.7,565.2
2022/10/26 07:37:06:675,1122235BHA110920,560.9,543.2
2022/10/26 07:37:03:369,1122235BHA110921,536.0,530.7
2022/10/26 07:36:59:967,1122235BHA110926,550.8,574.4
2022/10/26 07:27:33:162,1122235BHA110933,570.4,525.6
2022/10/26 07:29:22:704,1122235BHA110938,588.2,519.2
2022/10/26 07:29:32:906,1122235BHA110939,552.8,519.0
2022/10/25 23:01:32:591,1122235BHA110961,566.5,611.5
2022/10/26 01:06:00:065,1122235BHA110963,549.0,734.5
2022/10/26 01:07:55:405,1122235BHA110964,551.6,518.5
2022/10/26 01:08:46:225,1122235BHA110968,543.9,495.0
2022/10/26 01:08:23:219,1122235BHA110969,561.3,575.3
2022/10/26 01:08:37:219,1122235BHA110974,604.4,525.4
2022/10/26 01:07:41:203,1122235BHA110975,569.3,541.7
